"word","snapshot"
"rtf1",2017-11-17
"ansi",2017-11-17
"ansicpg1252",2017-11-17
"cocoartf1404",2017-11-17
"cocoasubrtf470",2017-11-17
"fonttbl",2017-11-17
"f0",2017-11-17
"fmodern",2017-11-17
"fcharset0",2017-11-17
"courier",2017-11-17
"colortbl",2017-11-17
"red255",2017-11-17
"green255",2017-11-17
"blue255",2017-11-17
"paperw11900",2017-11-17
"paperh16840",2017-11-17
"margl1440",2017-11-17
"margr1440",2017-11-17
"vieww10800",2017-11-17
"viewh8400",2017-11-17
"viewkind0",2017-11-17
"pard",2017-11-17
"tx720",2017-11-17
"tx1440",2017-11-17
"tx2160",2017-11-17
"tx2880",2017-11-17
"tx3600",2017-11-17
"tx4320",2017-11-17
"fi360",2017-11-17
"sl288",2017-11-17
"slmult1",2017-11-17
"pardirnatural",2017-11-17
"partightenfactor0",2017-11-17
"f0",2017-11-17
"fs28",2017-11-17
"cf0",2017-11-17
"the",2017-11-17
"demons",2017-11-17
"persist",2017-11-17
"and",2017-11-17
"haunt",2017-11-17
"me",2017-11-17
"in",2017-11-17
"the",2017-11-17
"night",2017-11-17
"with",2017-11-17
"vivid",2017-11-17
"actions",2017-11-17
"and",2017-11-17
"in",2017-11-17
"the",2017-11-17
"day",2017-11-17
"with",2017-11-17
"a",2017-11-17
"cloak",2017-11-17
"that",2017-11-17
"suffocates",2017-11-17
"and",2017-11-17
"extinguishes",2017-11-17
"flashes",2017-11-17
"of",2017-11-17
"joy",2017-11-17
"and",2017-11-17
"to",2017-11-17
"combat",2017-11-17
"them",2017-11-17
"i",2017-11-17
"sit",2017-11-17
"at",2017-11-17
"the",2017-11-17
"desk",2017-11-17
"and",2017-11-17
"write",2017-11-17
"words",2017-11-17
"what",2017-11-17
"to",2017-11-17
"write",2017-11-17
"today",2017-11-17
"of",2017-11-17
"the",2017-11-17
"craft",2017-11-17
"of",2017-11-17
"experimental",2017-11-17
"art",2017-11-17
"perhaps",2017-11-17
"i",2017-11-17
"have",2017-11-17
"certainly",2017-11-17
"tilled",2017-11-17
"this",2017-11-17
"earth",2017-11-17
"before",2017-11-17
"and",2017-11-17
"even",2017-11-17
"planted",2017-11-17
"seeds",2017-11-17
"although",2017-11-17
"i",2017-11-17
"am",2017-11-17
"yet",2017-11-17
"to",2017-11-17
"harvest",2017-11-17
"perhaps",2017-11-17
"an",2017-11-17
"article",2017-11-17
"on",2017-11-17
"my",2017-11-17
"website",2017-11-17
"perhaps",2017-11-17
"i",2017-11-17
"must",2017-11-17
"define",2017-11-17
"an",2017-11-17
"experiment",2017-11-17
"that",2017-11-17
"is",2017-11-17
"achievable",2017-11-17
"in",2017-11-17
"the",2017-11-17
"next",2017-11-17
"seven",2017-11-17
"days",2017-11-17
"for",2017-11-17
"that",2017-11-17
"is",2017-11-17
"all",2017-11-17
"i",2017-11-17
"have",2017-11-17
"until",2017-11-17
"the",2017-11-17
"european",2017-11-17
"adventure",2017-11-17
"with",2017-11-17
"my",2017-11-17
"family",2017-11-17
"begins",2017-11-17
"ok",2017-11-17
"so",2017-11-17
"that",2017-11-17
"is",2017-11-17
"one",2017-11-17
"thing",2017-11-17
"to",2017-11-17
"do",2017-11-17
"devise",2017-11-17
"an",2017-11-17
"experiment",2017-11-17
"for",2017-11-17
"the",2017-11-17
"next",2017-11-17
"seven",2017-11-17
"days",2017-11-17
"perhaps",2017-11-17
"the",2017-11-17
"experiment",2017-11-17
"itself",2017-11-17
"can",2017-11-17
"be",2017-11-17
"how",2017-11-17
"to",2017-11-17
"measure",2017-11-17
"writing",2017-11-17
"output",2017-11-17
"yes",2017-11-17
"this",2017-11-17
"sounds",2017-11-17
"like",2017-11-17
"a",2017-11-17
"good",2017-11-17
"one",2017-11-17
"i",2017-11-17
"can",2017-11-17
"spend",2017-11-17
"time",2017-11-17
"learning",2017-11-17
"the",2017-11-17
"skills",2017-11-17
"to",2017-11-17
"measure",2017-11-17
"writing",2017-11-17
"output",2017-11-17
"to",2017-11-17
"set",2017-11-17
"up",2017-11-17
"the",2017-11-17
"workflow",2017-11-17
"that",2017-11-17
"can",2017-11-17
"then",2017-11-17
"be",2017-11-17
"applied",2017-11-17
"to",2017-11-17
"the",2017-11-17
"experiments",2017-11-17
"1",2017-11-17
"measuring",2017-11-17
"writing",2017-11-17
"out",2017-11-17
"the",2017-11-17
"experiment",2017-11-17
"for",2017-11-17
"next",2017-11-17
"7",2017-11-17
"days",2017-11-17
"2",2017-11-17
"the",2017-11-17
"novel",2017-11-17
"applying",2017-11-17
"this",2017-11-17
"method",2017-11-17
"over",2017-11-17
"a",2017-11-17
"long",2017-11-17
"period",2017-11-17
"of",2017-11-17
"time",2017-11-17
"3",2017-11-17
"one",2017-11-17
"hour",2017-11-17
"stories",2017-11-17
"it",2017-11-17
"makes",2017-11-17
"me",2017-11-17
"think",2017-11-17
"as",2017-11-17
"well",2017-11-17
"of",2017-11-17
"how",2017-11-17
"to",2017-11-17
"manage",2017-11-17
"unfinished",2017-11-17
"work",2017-11-17
"versus",2017-11-17
"published",2017-11-17
"perhaps",2017-11-17
"there",2017-11-17
"is",2017-11-17
"some",2017-11-17
"kind",2017-11-17
"of",2017-11-17
"way",2017-11-17
"i",2017-11-17
"can",2017-11-17
"do",2017-11-17
"this",2017-11-17
"as",2017-11-17
"well",2017-11-17
"the",2017-11-17
"science",2017-11-17
"feels",2017-11-17
"interesting",2017-11-17
"but",2017-11-17
"is",2017-11-17
"it",2017-11-17
"just",2017-11-17
"distraction",2017-11-17
"in",2017-11-17
"disguise",2017-11-17
"i",2017-11-17
"am",2017-11-17
"not",2017-11-17
"sure",2017-11-17
"i",2017-11-17
"am",2017-11-17
"equally",2017-11-17
"attracted",2017-11-17
"to",2017-11-17
"ourania",2017-11-17
"the",2017-11-17
"muse",2017-11-17
"of",2017-11-17
"learning",2017-11-17
"and",2017-11-17
"science",2017-11-17
"as",2017-11-17
"i",2017-11-17
"am",2017-11-17
"to",2017-11-17
"her",2017-11-17
"younger",2017-11-17
"sisters",2017-11-17
"you",2017-11-17
"enjoy",2017-11-17
"the",2017-11-17
"more",2017-11-17
"91pure",2017-11-17
"92",2017-11-17
"arts",2017-11-17
"of",2017-11-17
"writing",2017-11-17
"certainly",2017-11-17
"i",2017-11-17
"have",2017-11-17
"not",2017-11-17
"given",2017-11-17
"generously",2017-11-17
"to",2017-11-17
"the",2017-11-17
"muses",2017-11-17
"this",2017-11-17
"year",2017-11-17
"it",2017-11-17
"is",2017-11-17
"one",2017-11-17
"of",2017-11-17
"the",2017-11-17
"the",2017-11-17
"things",2017-11-17
"i",2017-11-17
"need",2017-11-17
"to",2017-11-17
"do",2017-11-17
"next",2017-11-17
"year",2017-11-17
"or",2017-11-17
"actually",2017-11-17
"85",2017-11-17
"right",2017-11-17
"now",2017-11-17
"experiment",2017-11-17
"clean",2017-11-17
"up",2017-11-17
"all",2017-11-17
"files",2017-11-17
"on",2017-11-17
"my",2017-11-17
"computer",2017-11-17
"experiment",2017-11-17
"reduce",2017-11-17
"all",2017-11-17
"books",2017-11-17
"and",2017-11-17
"gather",2017-11-17
"all",2017-11-17
"writing",2017-11-17
"books",2017-11-17
"discuss",2017-11-17
"the",2017-11-17
"benefits",2017-11-17
"of",2017-11-17
"digital",2017-11-17
"versus",2017-11-17
"analog",2017-11-17
"writing",2017-11-17
"process",2017-11-17
"2018",2017-11-17
"simple",2017-11-17
"goals",2017-11-17
"be",2017-11-17
"a",2017-11-17
"good",2017-11-17
"person",2017-11-17
"especially",2017-11-17
"to",2017-11-17
"phoebe",2017-11-17
"offer",2017-11-17
"myself",2017-11-17
"to",2017-11-17
"the",2017-11-17
"muses",2017-11-17
"by",2017-11-17
"becoming",2017-11-17
"85",2017-11-17
"an",2017-11-17
"experimental",2017-11-17
"artist",2017-11-17
"and",2017-11-17
"85",2017-11-17
"a",2017-11-17
"data",2017-11-17
"scientist",2017-11-17
"save",2017-11-17
"200",2017-11-17
"pounds",2017-11-17
"a",2017-11-17
"week",2017-11-17
"play",2017-11-17
"lots",2017-11-17
"of",2017-11-17
"role",2017-11-17
"playing",2017-11-17
"games",2017-11-17
"maintain",2017-11-17
"fitness",2017-11-17
"carly",2017-11-17
"williams",2017-11-17
"is",2017-11-17
"a",2017-11-17
"character",2017-11-17
"in",2017-11-17
"outback",2017-11-17
"bob",2017-11-17
"she",2017-11-17
"is",2017-11-17
"a",2017-11-17
"short",2017-11-17
"smart",2017-11-17
"snappy",2017-11-17
"blonde",2017-11-17
"with",2017-11-17
"a",2017-11-17
"sharp",2017-11-17
"tongue",2017-11-17
"and",2017-11-17
"piercing",2017-11-17
"blue",2017-11-17
"eyes",2017-11-17
"and",2017-11-17
"straight",2017-11-17
"hair",2017-11-17
"she",2017-11-17
"takes",2017-11-17
"no",2017-11-17
"nonsense",2017-11-17
"and",2017-11-17
"is",2017-11-17
"a",2017-11-17
"strong",2017-11-17
"female",2017-11-17
"character",2017-11-17
"but",2017-11-17
"is",2017-11-17
"also",2017-11-17
"very",2017-11-17
"sexy",2017-11-17
"experiment",2017-11-17
"audit",2017-11-17
"tools",2017-11-17
"of",2017-11-17
"the",2017-11-17
"trade",2017-11-17
"tools",2017-11-17
"of",2017-11-17
"the",2017-11-17
"experimental",2017-11-17
"artist",2017-11-17
"physical",2017-11-17
"books",2017-11-17
"pencils",2017-11-17
"pens",2017-11-17
"paper",2017-11-17
"canvases",2017-11-17
"miniatures",2017-11-17
"paints",2017-11-17
"guitar",2017-11-17
"electronic",2017-11-17
"flowstate",2017-11-17
"scrivener",2017-11-17
"trello",2017-11-17
"i",2017-11-17
"stop",2017-11-17
"for",2017-11-17
"a",2017-11-17
"second",2017-11-17
"and",2017-11-17
"almost",2017-11-17
"lose",2017-11-17
"everything",2017-11-17
"such",2017-11-17
"is",2017-11-17
"flowstate",2017-11-17
"and",2017-11-17
"such",2017-11-17
"is",2017-11-17
"life",2017-11-17
"as",2017-11-17
"they",2017-11-17
"say",2017-11-17
"on",2017-11-17
"the",2017-11-17
"tattoos",2017-11-17
"rtf1",2017-11-18
"ansi",2017-11-18
"ansicpg1252",2017-11-18
"cocoartf1404",2017-11-18
"cocoasubrtf470",2017-11-18
"fonttbl",2017-11-18
"f0",2017-11-18
"fmodern",2017-11-18
"fcharset0",2017-11-18
"courier",2017-11-18
"colortbl",2017-11-18
"red255",2017-11-18
"green255",2017-11-18
"blue255",2017-11-18
"paperw11900",2017-11-18
"paperh16840",2017-11-18
"margl1440",2017-11-18
"margr1440",2017-11-18
"vieww10800",2017-11-18
"viewh8400",2017-11-18
"viewkind0",2017-11-18
"pard",2017-11-18
"tx720",2017-11-18
"tx1440",2017-11-18
"tx2160",2017-11-18
"tx2880",2017-11-18
"tx3600",2017-11-18
"tx4320",2017-11-18
"fi360",2017-11-18
"sl288",2017-11-18
"slmult1",2017-11-18
"pardirnatural",2017-11-18
"partightenfactor0",2017-11-18
"f0",2017-11-18
"fs28",2017-11-18
"cf0",2017-11-18
"the",2017-11-18
"daily",2017-11-18
"ten",2017-11-18
"minutes",2017-11-18
"begins",2017-11-18
"and",2017-11-18
"it",2017-11-18
"will",2017-11-18
"be",2017-11-18
"about",2017-11-18
"my",2017-11-18
"writing",2017-11-18
"process",2017-11-18
"this",2017-11-18
"is",2017-11-18
"something",2017-11-18
"i",2017-11-18
"have",2017-11-18
"surely",2017-11-18
"written",2017-11-18
"about",2017-11-18
"before",2017-11-18
"in",2017-11-18
"fact",2017-11-18
"many",2017-11-18
"times",2017-11-18
"but",2017-11-18
"i",2017-11-18
"am",2017-11-18
"reinvigorated",2017-11-18
"to",2017-11-18
"describe",2017-11-18
"this",2017-11-18
"again",2017-11-18
"if",2017-11-18
"only",2017-11-18
"to",2017-11-18
"myself",2017-11-18
"my",2017-11-18
"process",2017-11-18
"begins",2017-11-18
"with",2017-11-18
"mind",2017-11-18
"maps",2017-11-18
"each",2017-11-18
"night",2017-11-18
"i",2017-11-18
"draw",2017-11-18
"a",2017-11-18
"mind",2017-11-18
"map",2017-11-18
"about",2017-11-18
"what",2017-11-18
"i",2017-11-18
"want",2017-11-18
"to",2017-11-18
"write",2017-11-18
"the",2017-11-18
"next",2017-11-18
"day",2017-11-18
"it",2017-11-18
"92s",2017-11-18
"organic",2017-11-18
"free",2017-11-18
"flowing",2017-11-18
"relaxing",2017-11-18
"and",2017-11-18
"helps",2017-11-18
"order",2017-11-18
"my",2017-11-18
"mind",2017-11-18
"before",2017-11-18
"sleeping",2017-11-18
"i",2017-11-18
"also",2017-11-18
"use",2017-11-18
"trello",2017-11-18
"to",2017-11-18
"keep",2017-11-18
"track",2017-11-18
"of",2017-11-18
"various",2017-11-18
"projects",2017-11-18
"and",2017-11-18
"bits",2017-11-18
"and",2017-11-18
"pieces",2017-11-18
"that",2017-11-18
"might",2017-11-18
"need",2017-11-18
"to",2017-11-18
"be",2017-11-18
"written",2017-11-18
"my",2017-11-18
"first",2017-11-18
"draft",2017-11-18
"technique",2017-11-18
"is",2017-11-18
"about",2017-11-18
"maximising",2017-11-18
"volume",2017-11-18
"of",2017-11-18
"words",2017-11-18
"and",2017-11-18
"maximising",2017-11-18
"my",2017-11-18
"time",2017-11-18
"i",2017-11-18
"can",2017-11-18
"hack",2017-11-18
"out",2017-11-18
"about",2017-11-18
"400",2017-11-18
"words",2017-11-18
"in",2017-11-18
"ten",2017-11-18
"minutes",2017-11-18
"of",2017-11-18
"writing",2017-11-18
"once",2017-11-18
"i",2017-11-18
"92ve",2017-11-18
"done",2017-11-18
"this",2017-11-18
"i",2017-11-18
"move",2017-11-18
"the",2017-11-18
"words",2017-11-18
"into",2017-11-18
"scrivener",2017-11-18
"this",2017-11-18
"is",2017-11-18
"archiving",2017-11-18
"location",2017-11-18
"number",2017-11-18
"one",2017-11-18
"so",2017-11-18
"simply",2017-11-18
"my",2017-11-18
"process",2017-11-18
"is",2017-11-18
"1",2017-11-18
"mind",2017-11-18
"map",2017-11-18
"2",2017-11-18
"flowstate",2017-11-18
"3",2017-11-18
"scrivener",2017-11-18
"these",2017-11-18
"are",2017-11-18
"the",2017-11-18
"steps",2017-11-18
"to",2017-11-18
"create",2017-11-18
"mad",2017-11-18
"volumes",2017-11-18
"of",2017-11-18
"text",2017-11-18
"in",2017-11-18
"short",2017-11-18
"amounts",2017-11-18
"of",2017-11-18
"time",2017-11-18
"of",2017-11-18
"course",2017-11-18
"each",2017-11-18
"flowstate",2017-11-18
"is",2017-11-18
"a",2017-11-18
"bit",2017-11-18
"of",2017-11-18
"a",2017-11-18
"blast",2017-11-18
"without",2017-11-18
"a",2017-11-18
"lot",2017-11-18
"of",2017-11-18
"deliberation",2017-11-18
"over",2017-11-18
"choice",2017-11-18
"of",2017-11-18
"words",2017-11-18
"i",2017-11-18
"use",2017-11-18
"a",2017-11-18
"separate",2017-11-18
"process",2017-11-18
"for",2017-11-18
"re",2017-11-18
"writing",2017-11-18
"which",2017-11-18
"i",2017-11-18
"will",2017-11-18
"talk",2017-11-18
"about",2017-11-18
"another",2017-11-18
"time",2017-11-18
"i",2017-11-18
"have",2017-11-18
"decided",2017-11-18
"to",2017-11-18
"add",2017-11-18
"another",2017-11-18
"section",2017-11-18
"to",2017-11-18
"my",2017-11-18
"first",2017-11-18
"draft",2017-11-18
"writing",2017-11-18
"process",2017-11-18
"which",2017-11-18
"is",2017-11-18
"reporting",2017-11-18
"and",2017-11-18
"measurement",2017-11-18
"so",2017-11-18
"now",2017-11-18
"i",2017-11-18
"add",2017-11-18
"the",2017-11-18
"following",2017-11-18
"steps",2017-11-18
"4",2017-11-18
"export",2017-11-18
"into",2017-11-18
"text",2017-11-18
"file",2017-11-18
"5",2017-11-18
"load",2017-11-18
"into",2017-11-18
"r",2017-11-18
"for",2017-11-18
"combining",2017-11-18
"with",2017-11-18
"previous",2017-11-18
"and",2017-11-18
"analysis",2017-11-18
"so",2017-11-18
"there",2017-11-18
"you",2017-11-18
"have",2017-11-18
"it",2017-11-18
"that",2017-11-18
"is",2017-11-18
"my",2017-11-18
"writing",2017-11-18
"process",2017-11-18
"this",2017-11-18
"is",2017-11-18
"how",2017-11-18
"i",2017-11-18
"deliver",2017-11-18
"my",2017-11-18
"daily",2017-11-18
"words",2017-11-18
"to",2017-11-18
"the",2017-11-18
"muses",2017-11-18
"i",2017-11-18
"am",2017-11-18
"conducting",2017-11-18
"an",2017-11-18
"experiment",2017-11-18
"that",2017-11-18
"i",2017-11-18
"call",2017-11-18
"measuring",2017-11-18
"writing",2017-11-18
"output",2017-11-18
"the",2017-11-18
"goal",2017-11-18
"of",2017-11-18
"the",2017-11-18
"experiment",2017-11-18
"is",2017-11-18
"to",2017-11-18
"see",2017-11-18
"if",2017-11-18
"and",2017-11-18
"how",2017-11-18
"my",2017-11-18
"writing",2017-11-18
"changes",2017-11-18
"over",2017-11-18
"time",2017-11-18
"this",2017-11-18
"experiment",2017-11-18
"is",2017-11-18
"about",2017-11-18
"setting",2017-11-18
"up",2017-11-18
"the",2017-11-18
"right",2017-11-18
"analysis",2017-11-18
"and",2017-11-18
"pre",2017-11-18
"production",2017-11-18
"to",2017-11-18
"perform",2017-11-18
"the",2017-11-18
"measurements",2017-11-18
"and",2017-11-18
"eda",2017-11-18
"once",2017-11-18
"this",2017-11-18
"experiment",2017-11-18
"is",2017-11-18
"complete",2017-11-18
"i",2017-11-18
"will",2017-11-18
"use",2017-11-18
"what",2017-11-18
"i",2017-11-18
"have",2017-11-18
"learned",2017-11-18
"in",2017-11-18
"another",2017-11-18
"experiment",2017-11-18
"which",2017-11-18
"i",2017-11-18
"call",2017-11-18
"the",2017-11-18
"novel",2017-11-18
"for",2017-11-18
"this",2017-11-18
"experiment",2017-11-18
"i",2017-11-18
"will",2017-11-18
"apply",2017-11-18
"the",2017-11-18
"process",2017-11-18
"i",2017-11-18
"have",2017-11-18
"perfected",2017-11-18
"in",2017-11-18
"the",2017-11-18
"measuring",2017-11-18
"writing",2017-11-18
"output",2017-11-18
"experiment",2017-11-18
"and",2017-11-18
"monitor",2017-11-18
"my",2017-11-18
"writing",2017-11-18
"output",2017-11-18
"as",2017-11-18
"i",2017-11-18
"write",2017-11-18
"a",2017-11-18
"novel",2017-11-18
"i",2017-11-18
"have",2017-11-18
"never",2017-11-18
"seen",2017-11-18
"a",2017-11-18
"detailed",2017-11-18
"analysis",2017-11-18
"of",2017-11-18
"a",2017-11-18
"novel",2017-11-18
"while",2017-11-18
"it",2017-11-18
"is",2017-11-18
"being",2017-11-18
"written",2017-11-18
"it",2017-11-18
"will",2017-11-18
"be",2017-11-18
"a",2017-11-18
"balls",2017-11-18
"out",2017-11-18
"introspection",2017-11-18
"but",2017-11-18
"in",2017-11-18
"theory",2017-11-18
"should",2017-11-18
"be",2017-11-18
"interesting",2017-11-18
"at",2017-11-18
"least",2017-11-18
"i",2017-11-18
"would",2017-11-18
"find",2017-11-18
"it",2017-11-18
"interesting",2017-11-18
"if",2017-11-18
"i",2017-11-18
"stumbled",2017-11-18
"across",2017-11-18
"this",2017-11-18
"kind",2017-11-18
"of",2017-11-18
"research",2017-11-18
"in",2017-11-18
"the",2017-11-18
"wild",2017-11-18
"93writing",2017-11-18
"a",2017-11-18
"novel",2017-11-18
"what",2017-11-18
"it",2017-11-18
"looks",2017-11-18
"like",2017-11-18
"day",2017-11-18
"by",2017-11-18
"day",2017-11-18
"94",2017-11-18
"this",2017-11-18
"would",2017-11-18
"be",2017-11-18
"a",2017-11-18
"good",2017-11-18
"way",2017-11-18
"to",2017-11-18
"practice",2017-11-18
"textual",2017-11-18
"analysis",2017-11-18
"and",2017-11-18
"at",2017-11-18
"the",2017-11-18
"same",2017-11-18
"time",2017-11-18
"actually",2017-11-18
"get",2017-11-18
"a",2017-11-18
"novel",2017-11-18
"written",2017-11-18
"two",2017-11-18
"birds",2017-11-18
"with",2017-11-18
"one",2017-11-18
"stone",2017-11-18
"thus",2017-11-18
"the",2017-11-18
"path",2017-11-18
"of",2017-11-18
"the",2017-11-18
"experimental",2017-11-18
"artist",2017-11-18
"is",2017-11-18
"laid",2017-11-18
"before",2017-11-18
"me",2017-11-18
"into",2017-11-19
"the",2017-11-19
"feywild",2017-11-19
"where",2017-11-19
"the",2017-11-19
"light",2017-11-19
"is",2017-11-19
"soft",2017-11-19
"and",2017-11-19
"the",2017-11-19
"darkness",2017-11-19
"is",2017-11-19
"at",2017-11-19
"the",2017-11-19
"edge",2017-11-19
"of",2017-11-19
"vision",2017-11-19
"the",2017-11-19
"babbling",2017-11-19
"brooks",2017-11-19
"the",2017-11-19
"misty",2017-11-19
"air",2017-11-19
"the",2017-11-19
"deep",2017-11-19
"green",2017-11-19
"forests",2017-11-19
"here",2017-11-19
"there",2017-11-19
"are",2017-11-19
"eladrin",2017-11-19
"mysterious",2017-11-19
"elves",2017-11-19
"who",2017-11-19
"dance",2017-11-19
"and",2017-11-19
"sing",2017-11-19
"and",2017-11-19
"practice",2017-11-19
"arcane",2017-11-19
"magic",2017-11-19
"they",2017-11-19
"move",2017-11-19
"quickly",2017-11-19
"and",2017-11-19
"look",2017-11-19
"around",2017-11-19
"grouped",2017-11-19
"with",2017-11-19
"sprites",2017-11-19
"and",2017-11-19
"dryads",2017-11-19
"and",2017-11-19
"pixies",2017-11-19
"pixies",2017-11-19
"lead",2017-11-19
"the",2017-11-19
"way",2017-11-19
"through",2017-11-19
"the",2017-11-19
"forest",2017-11-19
"they",2017-11-19
"are",2017-11-19
"scouts",2017-11-19
"for",2017-11-19
"the",2017-11-19
"silent",2017-11-19
"rain",2017-11-19
"mercenary",2017-11-19
"company",2017-11-19
"they",2017-11-19
"are",2017-11-19
"quiet",2017-11-19
"and",2017-11-19
"inquisitive",2017-11-19
"they",2017-11-19
"watch",2017-11-19
"and",2017-11-19
"wait",2017-11-19
"they",2017-11-19
"are",2017-11-19
"patient",2017-11-19
"they",2017-11-19
"will",2017-11-19
"talk",2017-11-19
"with",2017-11-19
"travelers",2017-11-19
"and",2017-11-19
"try",2017-11-19
"to",2017-11-19
"glean",2017-11-19
"information",2017-11-19
"to",2017-11-19
"then",2017-11-19
"return",2017-11-19
"to",2017-11-19
"their",2017-11-19
"masters",2017-11-19
"their",2017-11-19
"friend",2017-11-19
"the",2017-11-19
"eladrin",2017-11-19
"the",2017-11-19
"silent",2017-11-19
"rain",2017-11-19
"mercenary",2017-11-19
"company",2017-11-19
"selects",2017-11-19
"on",2017-11-19
"the",2017-11-19
"finest",2017-11-19
"elven",2017-11-19
"warriors",2017-11-19
"and",2017-11-19
"wizards",2017-11-19
"they",2017-11-19
"are",2017-11-19
"trained",2017-11-19
"from",2017-11-19
"a",2017-11-19
"young",2017-11-19
"age",2017-11-19
"in",2017-11-19
"the",2017-11-19
"arts",2017-11-19
"of",2017-11-19
"war",2017-11-19
"they",2017-11-19
"appreciate",2017-11-19
"art",2017-11-19
"as",2017-11-19
"well",2017-11-19
"although",2017-11-19
"in",2017-11-19
"a",2017-11-19
"more",2017-11-19
"understated",2017-11-19
"way",2017-11-19
"than",2017-11-19
"their",2017-11-19
"brethren",2017-11-19
"in",2017-11-19
"evereska",2017-11-19
"less",2017-11-19
"flirtatious",2017-11-19
"more",2017-11-19
"pragmatic",2017-11-19
"the",2017-11-19
"members",2017-11-19
"of",2017-11-19
"the",2017-11-19
"silent",2017-11-19
"rain",2017-11-19
"keep",2017-11-19
"themselves",2017-11-19
"physically",2017-11-19
"fit",2017-11-19
"with",2017-11-19
"gruelling",2017-11-19
"regimes",2017-11-19
"to",2017-11-19
"keep",2017-11-19
"themselves",2017-11-19
"strong",2017-11-19
"they",2017-11-19
"feywild",2017-11-19
"is",2017-11-19
"a",2017-11-19
"dangerous",2017-11-19
"place",2017-11-19
"of",2017-11-19
"duality",2017-11-19
"and",2017-11-19
"deception",2017-11-19
"darkness",2017-11-19
"conceals",2017-11-19
"and",2017-11-19
"light",2017-11-19
"reveals",2017-11-19
"and",2017-11-19
"the",2017-11-19
"sounds",2017-11-19
"are",2017-11-19
"bold",2017-11-19
"and",2017-11-19
"seductive",2017-11-19
"the",2017-11-19
"sounds",2017-11-19
"are",2017-11-19
"melodic",2017-11-19
"and",2017-11-19
"enchanting",2017-11-19
"alluring_",2017-11-19
"the",2017-11-19
"fabrics",2017-11-19
"are",2017-11-19
"soft",2017-11-19
"and",2017-11-19
"thick",2017-11-19
"often",2017-11-19
"stain",2017-11-19
"with",2017-11-19
"a",2017-11-19
"sheen",2017-11-19
"that",2017-11-19
"reflects",2017-11-19
"the",2017-11-19
"desires",2017-11-19
"of",2017-11-19
"the",2017-11-19
"viewer",2017-11-19
"there",2017-11-19
"are",2017-11-19
"two",2017-11-19
